repo,number,title,body,label
juggernog20/OpenLaw,875,Documentation DOC-028: Write an Auto-Doc template guide,"## Why

DES-087 (#874) moves the brace, Block, and directive help out of the Auto-Doc record and into one Help article, linked once from the template pane.

## What exists

`docs/user-guides/auto-doc-template.md` is registered as a draft article (`auto-doc-template`, section contracts, context `auto-docs.template`, scenario V-C56) and published to the development edition so the in-app link resolves.

## What this task owns

- [ ] Proofread the guide against the built Form section
- [ ] Run scenario V-C56 as a browser walkthrough and record its evidence under `docs/documentation/evidence/`
- [ ] Move the article from draft to review, then to verified, through the documentation pipeline",NON_SECURITY
ScottLilly/ArgumentParser,45,First README sample does not match the code and would throw,"The first sample in `README.md` does not match what the code does, on two counts.

```csharp
var parser = new Parser();
var parsedArguments = parser.Parse(""123 45.67 hello world --key=value"");

Assert.Equal(3, parsedArguments.StringArguments.Count);
Assert.Equal(""value"", parsedArguments.NamedArguments[""key""]);
```

1. **The key includes its prefix.** `TryParseNamedArgument` splits at the separator and keeps everything to its left, so the key is `""--key""`, not `""key""`. `NamedArguments[""key""]` throws `KeyNotFoundException`.
2. **The string count is wrong.** `hello` and `world` are the only string arguments, so it is 2, not 3. The equivalent real test, `TestParser.Test_ArgumentVariety`, asserts 2.

So someone copying the first thing they see in the README gets an exception.

The same document should probably also say plainly that the prefix is retained, since it is the first thing that surprises a reader, and point at the `""--""`-as-argument-separator idiom as the way to strip it. That idiom has its own sharp edge worth mentioning: once `""-""` or `""--""` is an argument separator, hyphens inside values split too, so `--branch:release-1.2` comes apart.

Worth a pass over the other three samples at the same time to check them against the tests.",NON_SECURITY
bustanhq/bustan,389,The observability guide says every request is correlated and counted,"Refs #387

## Context

Two statements about observability no longer match the code.

`ObservabilityHooks.start_request` (`src/bustan/observability/observability.py:214`) says an unsampled
request is still measured and still counted, and `docs/reference/api.md:1709`, generated from it, and
the guide's sampling paragraph (`docs/how-to/observe-an-application.md:216`) repeat it. Since #381,
hooks with a tracer and no metrics sink return from `finish_request` without reading the clock when
the request was not sampled, so such a request is neither timed nor counted.

The guide's correlation section (`docs/how-to/observe-an-application.md:100`) says every request is
named before anything runs for it. A request no route matches is refused by the adapter with a 404,
a 405 or a trailing-slash redirect before a route handler binds a correlation
(`src/bustan/adapters/asgi/application.py:127-138`, and `_refuse_unmatched_route` and
`_refuse_wrong_method` in `src/bustan/adapters/starlette/adapter.py`), so it carries none.

## Change

State what happens: an unsampled request is measured and counted only when a metrics sink is
attached, and correlation covers every request a route handles, not one the adapter refuses before
reaching a route. Regenerate the API reference.

Verify every figure above against source, and say so in the pull request if one is wrong.

## Acceptance

- No docstring or page in the repository says an unsampled request is measured or counted when no metrics sink is attached.
- No page says a request that no route matches is correlated.
- `scripts/generate_api_reference.py --check` reports the reference up to date.
- Full verification block green.

## Owns

- `src/bustan/observability/observability.py`
- `docs/reference/api.md`
- `docs/how-to/observe-an-application.md`

**Notes on that list.** The change to `observability.py` is to the `start_request` docstring only.

## Must not touch

- `src/bustan/adapters/`
- `src/bustan/runtime/`

## Delivery

Branch `docs/observability-statements-match-the-code` from `main`.",NON_SECURITY
fairchild/workspaces,1650,The user guide and the model comment still promise an operator cannot read human-owned terminals; the controller no longer enforces that,"P1 from the codex pass on PR #1644 (Closes #1601), outside its fence. Since #1265, `AutomationController.automationReadSurface` reads any live terminal surface for an operator handle (liveness check only; creation attribution is recorded but not consulted). Three texts still promise otherwise:

1. `docs/automation-api.md:203` (the user-facing guide, re-verify) — says an operator cannot read arbitrary human-owned terminals.
2. `docs/decisions/automation-surface-read.md:24` — the ADR's Decision; #1643 item 2 already holds the ADR's status/decision drift, so fix both in one PR and close that item there.
3. `Sources/WorkspaceManagerCore/Services/Automation/AutomationAPI.swift:949` — the model comment says the same.

A false promise in the user-facing guide about what an operator credential can read is the one to fix first. Either the guide, the ADR and the comment say what the controller does today (operator credential ⇒ any live terminal's text, bounded by lines and bytes, audited with the operator flag and surface id), or the controller regains the check and the docs stay. That choice is the owner's; the docs-only path is the default absent a decision.

## Requested Evidence

- Diff: the three passages say what `automationReadSurface` does, citing the symbol
- `check-links` passes on the PR head; `mise run lint` passes if the Swift comment changes

Orchestrator note (workspaces)",NON_SECURITY
philgutowski/native-relay,18,"The path_gate row has no entry for a refusal on a complete envelope, where the task lands","`skills/relay/SKILL.md:273` documents `path_gate` as a halt class with two shapes, and there is a
third outcome it has no entry for: the same refused edit on a Task whose Envelope reads complete,
where no class is assigned at all and the Task lands.

## The current row

> | `path_gate` | one of two walls around `.claude/`, and the record's `halt_stage` says which. No stage: the task asked for an edit there and its permission posture refused it whatever the allowlist says, so the work is unfinished. Stage `backstop`: the task finished and the merge tail refused a branch whose diff touches `.claude/` | read the cause line, which names the repair its own raiser implies. Unfinished work needs an attended session to do it, then a resume. A refused branch needs an attended gate and merge, then `verify` for that task, never a rerun |

## What it implies that is false

**""No stage"" reads as the shape a refused edit always takes.** A record reaches ""No stage"" carrying
class `path_gate` only through `classify.py:485` or `:487`, that is, only on a blocked or absent
Envelope. On a complete Envelope the same refusal never becomes a class. `classify.py:471` sets
`routable = True` and assigns nothing, so the finding rides along to Verify-landed and the Task
lands.

**The repair advice is wrong for that case.** There is nothing to resume, the card is Done, and the
missing piece is a follow up edit on a merged commit.

The merge tail backstop does not catch it either. `gitwrite.claude_dir_backstop` at
`gitwrite.py:319` reads the branch diff, and a write that was denied left nothing in the diff to
see. Both walls miss the same Task, and neither is malfunctioning.

The only trace is a `path_gate_denial` check line from `summary.py:166`, which fires because the
findings loop in `_pending_checks` has no status filter. That line sits on a run reporting
`completed`.

## Observed

Run of 2026-09-11 against the IW board, manifest `iw-workbench-3.toml`, runner extract at `c5185d1`.
23 tasks, 18 landed, 5 excluded, zero halts, `run_status: completed`. IW-219 and IW-222 were each
refused an Edit on the target repo's `.claude/skills/itg-brief/SKILL.md`, carried on, merged, and
verified landed with `halt_class: landed` and `halt_stage: None`, each carrying its `path_gate`
finding. The skill file was left stale against both landings and was repaired attended about an
hour later, out of band.

## Proposed row

> | `path_gate` | one of two walls around `.claude/`, and the record's `halt_stage` says which. The class is not the only outcome of a refusal: where the Task's Envelope reads complete, the same refused edit stays a finding, the Task lands, and only the summary's check by hand list reports it. No stage: the Task asked for an edit there, its Envelope was blocked or absent, and its permission posture refused the edit whatever the allowlist says, so the work is unfinished. Stage `backstop`: the Task finished and the merge tail refused a branch whose diff touches `.claude/` | read the cause line, which names the repair its own raiser implies. Unfinished work needs an attended session to do it, then a resume. A refused branch needs an attended gate and merge, then `verify` for that Task, never a rerun. A landed Task carrying a `path_gate` finding needs neither: the edit that never landed is a follow up on a merged commit |

## Not a new halt class

KTD6 keeps the set closed. This outcome is already a finding attached to a record, which is the form
CONCEPTS.md says a cause outside the closed set takes. The code is behaving as designed at all three
gates; the row is what is missing a sentence.

## Why the row reads as it does

Not an old row nobody revisited. #8 wrote it, in `762e5c9`, replacing a single sentence with the
current two raiser text. Every incident that issue had in hand, IW-83, IW-179 and T-70, was a Task
that stopped, so the table has exactly the branches those incidents produced. The 2026-09-11 run is
the first to produce the branch where neither wall fires.

## Related

- #8, closed, the direct ancestor. It split the two raisers on a halted record and wrote this row.
  It assumed the set of `path_gate` outcomes is two.
- #9, open, adjacent but not the same. It proposes printing the Envelope verdict for Tasks that did
  not land, so its scope excludes the landed record this is about. Worth widening, or worth a
  comment, but it does not already track this.
- #14, closed, same gate on a different axis. It re-tested the gate's reach on CLI 2.1.268 and did
  not touch what the runner does with a denial a Task carried on past.

Source: `docs/solutions/workflow-issues/a-refused-claude-dir-edit-on-a-complete-envelope-is-a-finding-not-a-halt-so-the-task-lands-with-its-skill-file-stale.md`, landed at `8c6ec72`, which carries the full mechanism, the two worked examples, and the manifest authoring check that goes with it.",NON_SECURITY
zmdld11/SHU-Computer-Graphics,3,新增 AGENTS.md：组员 AI 助手工作指引,"## 目标

给组员的 AI 编程助手（agent）提供本仓库的工作指引：组员不熟 GitHub，git 操作由各自的 agent 完成，agent 必须自动遵守本仓库的 issue 流程与架构约定。

## 范围

- 仓库根新增 `AGENTS.md`（主流 AI 编程工具自动读取的约定文件）
- README「协作规范」一节加指引链接

## 验收标准

- [ ] AGENTS.md 覆盖：工作流（issue → 分支 → commit → PR → 小结）、架构红线、构建与自测命令、代码约定、安全红线
- [ ] 组员 agent 打开仓库即可按图索骥，无需口头交代规则",NON_SECURITY
quezinhacosta/teste-aula-agil,20,[Sprint 10] [I01] Base de ambiente e acesso seguro,"## Objetivo
Manter credenciais e tráfego em condições adequadas.

## O que entregar
- Separação entre dev e produção para variáveis sensíveis.
- Senhas com armazenamento/verificação segura.
- HTTPS em ambientes adequados.

## Critério de aceite
- [ ] Credenciais não ficam expostas no código.
- [ ] Medidas básicas de segurança estão em vigor.

## Fronteira
- Infra: principal
- Back: consequência direta
- Front: consequência indireta

## Dependências
- M03

## Regras e requisitos de referência
- RNF02

## Como validar
1. Verificar que variáveis sensíveis não estão versionadas.
2. Confirmar proteção básica no fluxo de autenticação.
3. Confirmar que ambientes são distinguíveis.

## Decisões pendentes
- Onde rodar backend e banco no MVP
- Se há integração institucional de identidade
- Quem gerencia acesso institucional versus acesso local",NON_SECURITY
quezinhacosta/teste-aula-agil,19,[Sprint 9] [M13] Auditoria e logs de operação,"## Objetivo
Rastrear quem fez o quê, quando e de onde em operações críticas.

## O que entregar
- Log de eventos relevantes com timestamp, responsável e origem.
- Base para manutenção, pesagem e empréstimo.

## Critério de aceite
- [ ] É possível saber quem fez a operação e quando.
- [ ] O registro não depende apenas de correções manuais posteriores.

## Fronteira
- Back: principal
- Front: leitura de logs se applicable

## Dependências
- M01

## Regras e requisitos de referência
- RNF06

## Como validar
1. Realizar uma operação crítica e conferir o registro.
2. Confirmar que os dados de auditoria estão presentes.
3. Confirmar que log é Consistente para auditoria acadêmica.

## Decisões pendentes
- O que vai para log e o que fica apenas no registro de negócio
- Política de retenção básica
- Se há visualização de logs por perfil",NON_SECURITY
quezinhacosta/teste-aula-agil,8,[Sprint 3] [M02] Fronteira e convenções entre frontend e backend,"## Objetivo
Avisar como frontend e backend vão dividir responsabilidades, para não repetir regras ou espalhar estado.

## O que entregar
- Responsabilidade de cada frente: validação, regras de negócio, estado, UI.
- Convenção de resposta de erro e mensagem voltada ao usuário.
- Convenção de campos compartilhados entre telas e API.
- Pequeno glossário de termos usados em ambas as frentes.

## Critério de aceite
- [ ] Frontend sabe o que não deve repetir do backend.
- [ ] Backend sabe o que deve garantir sozinho.
- [ ] Dá para adicionar nova tela/requisito sem reescrever a regra em dois lugares.

## Fronteira
- Front: participativo
- Back: participativo
- Infra: opcional

## Dependências
- M01
- #4

## Regras e requisitos de referência
- RN06, RN07, RN08

## Como validar
1. Escolher uma regra de negócio e dizer onde ela vive.
2. Confirmar que a interface não replica a mesma regra de forma separada.
3. Confirmar que mensagens de erro são consistentes.

## Decisões pendentes
- Padrão de estrutura de resposta de erro
- Se validação de formulário será repetida no frontend por usabilidade ou só no backend",NON_SECURITY
quezinhacosta/teste-aula-agil,7,[Sprint 3] [M01] Modelo de dados e contratos iniciais do SIG-MUSARQ,"## Objetivo
Definir o modelo inicial do SIG-MUSARQ e a forma como frontend e backend vão conversar.

## Contexto
O sistema precisa diferenciar máquinas de bancada de equipamentos emprestáveis, controlar suprimentos que entram por kg e saem em frações, e registrar O.S. com rastreabilidade completa.

## O que entregar
- Entidades principais: usuário, máquina, suprimento, empréstimo, O.S., manutenção e log.
- Campos obrigatórios, tipos básicos e principais restrições.
- Separação clara entre máquina fixa e item emprestável.
- Representação da entrada em kg/L e da saída em gramas/ml.
- Representação de O.S. com consumo zero para escaneamento.

## Critério de aceite
- [ ] Dá para identificar máquina e emprestável sem ambiguidade.
- [ ] Dá para entender como o estoque fracionado funciona no modelo.
- [ ] Dá para entender quais dados uma O.S. precisa obrigatoriamente.
- [ ] O modelo serve como referência para backend e frontend.

## Fronteira
- Back: principal
- Front: receptivo
- Infra: opcional no início

## Dependências
- #4 como base organizacional
- Decisão sobre backend escolhido antes de codar modelos pesados

## Regras e requisitos de referência
- RN01, RN04, RN05, RN06
- RNF05
- RF03, RF04, RF09

## Como validar
1. Ler o modelo e responder: ""uma máquina pode sair para empréstimo?""
2. Ler o modelo e responder: ""uma O.S. de escaneamento pode debitar filamento?""
3. Confirmar que campos obrigatórios e tipos estão identificados.
4. Confirmar que frontend sabe quais dados esperar de cada entidade.

## Decisões pendentes
- Tecnologia backend exata
- Se o modelo inicial vai ser relacional ou em outro formato
- Se logs de auditoria viram entidade própria ou campo decorrente",NON_SECURITY
e-gleba/ai,43,dead links found in the handbook,[Full Github Actions output](https://github.com/e-gleba/ai/actions/runs/34840731400?check_suite_focus=true),NON_SECURITY
mmiura-2351/mc-server-dashboard-v2,3052,"test_plugin_models_ddl.py names migration 0018, but 0019 creates the server_plugin table","## What

`api/tests/servers/test_plugin_models_ddl.py`'s module docstring names the wrong migration:

```
""""""Model-rendered DDL for the ``server_plugin`` table (migration 0018).
```

`api/migrations/versions/0018_resource_packs.py` is the resource-pack migration;
`0019_server_plugins.py` is the one that creates `server_plugin`. Locate by content; line
numbers drift.

Every other site that names it says 0019 — `servers/domain/plugin.py` (twice, in the module
docstring and on the row class) and `servers/adapters/plugin_models.py` (twice, likewise). So
this is one file out of step, not a convention.

## Why it matters

The number is how a reader crosses from this DDL test to the migration whose output it pins. Sent
to 0018 they find a table the test never mentions, and the natural conclusion — that the test is
stale — is wrong. It is also the one place the mistake is cheapest to believe, because a DDL test
is exactly what someone reads when a migration and a model disagree.

Two later migrations also touch the table (`0022_server_plugin_side.py`,
`0023_server_plugin_catalog_deps.py`), so whoever fixes this should decide whether the docstring
should name the creating migration alone or the ones that shaped the table the test asserts.
Check what the test actually asserts before choosing.

## What to do

Correct the number to 0019, in the form the four sibling sites use, after confirming from the
migration files themselves which one creates the columns and constraints the test pins. While
there, sweep the rest of `api/tests/` for a docstring naming a migration that does not match the
file it points at — this was found by accident during PR #3051, not by a search.

## Acceptance criteria

- No test docstring names a migration that does not create or alter what the test asserts.
- No test behaviour changes; `make check` green.

## Provenance

Out-of-scope finding from PR #3051 (issue #3023), reported by its implementer and verified
against `api/migrations/versions/`. Refs: #3023, PR #3051, #2968, PR #3021.",NON_SECURITY
varnish/HORD,9,README: add a suggested reading order for new contributors,"The README's crate table says what each layer *is*, but not what to read first. The layering (transport → wire protocol → zero-copy semantics → async adapter → demos) only lands in one direction, and a newcomer opening `hord-stream/src/stream.rs` first — the biggest file — gets the worst possible entry point.

A short ""Where to start"" section would help. Suggested order, with the reason each step earns its place:

1. **`SPEC.md` §4–§6** — the wire protocol before any code: envelope, handshake, credits. The tree carries 260 inline `§` annotations, so these clause numbers are the vocabulary every comment assumes you already have.
2. **`hord-stream/src/handshake.rs`** — 246 lines, self-contained, with round-trip unit tests that need no device. The smallest complete piece of the protocol.
3. **`HordStream::handle_completion`** in `hord-stream/src/stream.rs` — the heart of the transport: one flat dispatcher over completion types, each branch naming its spec clause. Worth reading before the API surface around it.
4. **`serve_one`** in `hord-demo/src/bin/server.rs` — a whole request/response cycle, sync, no tokio in the way.
5. **`hord-zerocopy/src/lib.rs`** with the `rdma` feature off — the `X-HORD-RDMA-Write` codec with no RDMA anywhere near it; builds and tests on a laptop.
6. **`acceptor_loop`** in `hord-async/src/listener.rs` — deliberately last. The subtlest error handling in the tree, and it only makes sense once the layers beneath it do.

The new ""Spec coverage map"" in `PROTOTYPE.md` is the companion piece — it maps each spec section to the crate and file implementing it, so step 1 has somewhere to go next.",NON_SECURITY
fairchild/workspaces,1647,Release metadata PRs keep the title `release: v<version>` while every other PR title carries its motive,"Found by the codex pass on PR #1632 (Closes #1621) outside its fence. `scripts/release.py:160` opens the metadata PR with the title `release: v{version}`, and `:42` (and `RELEASING.md`) require the squash commit title to start with `release: v` because the release lane keys candidate preparation on it. #1621's rule is that a PR title carries its motive after its conventional-commit prefix; #1632 exempts titles from the gate, so nothing fails today.

Decide here whether a release title needs a motive at all (the version is the motive, and the lane parses the prefix), or whether `release: v0.28.0` should read `release: v0.28.0 — <one clause from the changelog intro>` with the lane's match loosened to a prefix. Either answer is a one-line doc or code change plus a test in `scripts/tests/test_release_entrypoint.py`.

Orchestrator note (workspaces)",NON_SECURITY
seungju-lab/portfolio,42,전체 상세 동작과 기존 홈·인쇄를 검증하고 구현 결과를 문서에 기록한다,"## 설명

완성한 코드를 대상으로 디자인 일치, 실제 탐색, 정적 산출물과 기존 기능을 검증한다. 기존 Pencil 검증은 정적 시안의 근거로 유지하고 새 웹 구현 검증 기록을 별도로 남긴다. 버그가 확인되면 해당 범위의 구현을 수정한 뒤 영향을 받는 검증을 다시 실행한다.

## 완료 조건

- [ ] 세 프로젝트의 1440/390px 전체 화면과 주요 도식·사례·결과·하단 링크를 저장된 Pencil 렌더 및 명세와 비교한 근거가 있다. 320px, 1024px 전환 전후, 텍스트 200% 확대에서 잘림·가로 넘침·조작 불가가 없다.
- [ ] 네 새 앵커·세 기존 앵커, 외부 링크, 첫·중간·마지막 프로젝트 이동, 포커스·Tab 순서·history·입력 중단·움직임 줄이기와 비조작 도식의 접근성 결과를 기록한다.
- [ ] 프로젝트가 지정한 도구 환경에서 pnpm check와 pnpm check:export:test가 통과한다. 새 상세 콘텐츠·링크·앵커 회귀에 필요한 검사를 추가하거나 갱신하되 실패하는 기존 검사를 제거하거나 약화해 통과시키지 않는다.
- [ ] 홈·전체 열람·인쇄 문구와 기능을 보존한다. 브라우저에서 PDF를 생성해 기존 A4 네 장 구성·잘림·읽기 상태 복원을 확인하고 실제 사용한 브라우저·환경을 기록한다.
- [ ] 검증 기록에는 대상 커밋, 실행 명령·환경, 시나리오와 실제 결과, 화면/PDF 근거, 남은 제한을 구분해 남긴다. 실행하지 않은 검사나 운영 배포를 완료로 표시하지 않는다.
- [ ] 요구사항·상세 문서·관련 구현 안내의 코드 미반영 상태를 실제 구현 결과로 갱신한다. 설계와 의미 있는 차이가 생겼다면 이유와 최종 결과를 관련 문서에 반영하고 검증 기록을 연결한다.

## 검증 방법

- 정해진 도구 환경에서 pnpm check 및 pnpm check:export:test의 종료 코드와 결과를 보존한다.
- 브라우저 시나리오별 실제 결과와 1440/390px 비교 이미지·추가 폭 검사·PDF 네 장을 확인한다. 자동화 가능한 핵심 회귀는 반복 실행 가능한 검사로 남긴다.
- 문서 링크·첨부 근거·기록한 커밋과 실제 구현을 대조하고, 선행 Atomic의 완료 조건이 누락 없이 검증되었는지 확인한다.

## 기준 자료

- 선행 디자인 딜리버러블: #25 (완료).
- [변경 요구사항](https://github.com/seungju-lab/portfolio/blob/82feaad5c86743e211f198e00a94941fa09859df/docs/design/project-detail-change-requirements.md)
- [프로젝트 상세 콘텐츠·동작 명세](https://github.com/seungju-lab/portfolio/blob/82feaad5c86743e211f198e00a94941fa09859df/docs/design/pages/project-detail.md)
- [공통 컴포넌트와 Pencil 확정값](https://github.com/seungju-lab/portfolio/blob/82feaad5c86743e211f198e00a94941fa09859df/docs/design/components.md)
- [시안 검증 기록·여섯 화면 렌더](https://github.com/seungju-lab/portfolio/blob/82feaad5c86743e211f198e00a94941fa09859df/docs/verification/project-detail-pencil.md)
- [Pencil 화면](https://github.com/seungju-lab/portfolio/blob/82feaad5c86743e211f198e00a94941fa09859df/docs/pen/portfolio.pen), [공통 라이브러리](https://github.com/seungju-lab/portfolio/blob/82feaad5c86743e211f198e00a94941fa09859df/docs/pen/portfolio.lib.pen)",NON_SECURITY
seungju-lab/portfolio,41,새 상세 구현의 브라우저·정적 산출물·인쇄 검증 기록을 완성한다,"## 설명

화면과 탐색 Work를 통합한 결과를 실제 브라우저에서 확정 문서·Pencil과 대조한다. 기존 정적 export·홈·전체 열람·A4 인쇄의 회귀 여부를 확인하고, 후속 작업자가 재현할 수 있는 근거와 구현 상태를 문서에 남긴다.

탐색 Work 다음에 수행한다. 이 Work의 검증 Atomic이 확인한 결과를 최종 구현 완료 근거로 사용한다.

## 기준 자료

- 선행 디자인 딜리버러블: #25 (완료).
- [변경 요구사항](https://github.com/seungju-lab/portfolio/blob/82feaad5c86743e211f198e00a94941fa09859df/docs/design/project-detail-change-requirements.md)
- [프로젝트 상세 콘텐츠·동작 명세](https://github.com/seungju-lab/portfolio/blob/82feaad5c86743e211f198e00a94941fa09859df/docs/design/pages/project-detail.md)
- [공통 컴포넌트와 Pencil 확정값](https://github.com/seungju-lab/portfolio/blob/82feaad5c86743e211f198e00a94941fa09859df/docs/design/components.md)
- [시안 검증 기록·여섯 화면 렌더](https://github.com/seungju-lab/portfolio/blob/82feaad5c86743e211f198e00a94941fa09859df/docs/verification/project-detail-pencil.md)
- [Pencil 화면](https://github.com/seungju-lab/portfolio/blob/82feaad5c86743e211f198e00a94941fa09859df/docs/pen/portfolio.pen), [공통 라이브러리](https://github.com/seungju-lab/portfolio/blob/82feaad5c86743e211f198e00a94941fa09859df/docs/pen/portfolio.lib.pen)",NON_SECURITY
ymkge/youtube-research-toolkit,98,[調査]youtubeにおける広告に関する情報をまとめたドキュメント作成する,,NON_SECURITY
fairchild/workspaces,1646,Three more comments say the note verb enters the sidebar's setter; they are separate writers,"Follow-up to #1599 (PR #1641), found by the codex pass on #1641 outside its two-file fence. #1641 corrects the claim above `MainWindowAutomationGestureVerbs.performNote` and `SidebarView.setNote`; three untouched comments still make it (line numbers as of b936715c, re-verify):

1. `Sources/WorkspaceManagerCore/Services/Automation/AutomationGestureVerbs.swift:140-141` — ""the same setter the row's Edit Note… item writes through"".
2. `Sources/WorkspaceManagerCore/Services/Automation/AutomationGestureVerbs.swift:226` — ""enter the same setter the row's Edit Note… item writes through"".
3. `Sources/WorkspaceManagerCLI/main.swift:1570-1571` — ""it enters the app's own note setter (the same one the row's Edit Note… item writes through)"".

The note verb and the sidebar are two independent writers that each normalize through `WorkspaceNote.normalized` and assign `workspace.note` (see #1641's comments for the wording). Each of these three should say that, or say less: the verb writes the same stored field the sidebar writes, normalized the same way. Comment-only; `mise run lint` is the gate.

## Requested Evidence

- Diff: none of the three comments claims a shared setter; each names `WorkspaceNote.normalized` or defers to the comment above `performNote`
- `mise run lint` passes on the PR head

Orchestrator note (workspaces)",NON_SECURITY
MiBiPreT/mibitrans,172,Add documentation section core-fringe,"Add dedicated section to core-fringe model in documentation, in place of instant reaction.",NON_SECURITY
